2025-02-11 10:55:50,548 INFO    MainThread:65840 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_setup.py:_flush():79] Configure stats pid to 65840
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_setup.py:_flush():79] Loading settings from /Users/esenov/.config/wandb/settings
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_setup.py:_flush():79] Loading settings from /Users/esenov/Documents/GitHub/inverse-RC/tempfieldcase1/wandb/settings
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'tempfieldcase1/main.py', 'program_abspath': '/Users/esenov/Documents/GitHub/inverse-RC/tempfieldcase1/main.py', 'program': '/Users/esenov/Documents/GitHub/inverse-RC/tempfieldcase1/main.py'}
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_init.py:_log_setup():533] Logging user logs to /Users/esenov/Documents/GitHub/inverse-RC/tempfieldcase1/wandb/run-20250211_105550-7zk8brxc/logs/debug.log
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/esenov/Documents/GitHub/inverse-RC/tempfieldcase1/wandb/run-20250211_105550-7zk8brxc/logs/debug-internal.log
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_init.py:init():619] calling init triggers
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_init.py:init():669] starting backend
2025-02-11 10:55:50,549 INFO    MainThread:65840 [wandb_init.py:init():673] sending inform_init request
2025-02-11 10:55:50,551 INFO    MainThread:65840 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-02-11 10:55:50,552 INFO    MainThread:65840 [wandb_init.py:init():686] backend started and connected
2025-02-11 10:55:50,557 INFO    MainThread:65840 [wandb_init.py:init():781] updated telemetry
2025-02-11 10:55:50,587 INFO    MainThread:65840 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-02-11 10:55:50,935 INFO    MainThread:65840 [wandb_init.py:init():867] starting run threads in backend
2025-02-11 10:55:51,221 INFO    MainThread:65840 [wandb_run.py:_console_start():2456] atexit reg
2025-02-11 10:55:51,222 INFO    MainThread:65840 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-02-11 10:55:51,222 INFO    MainThread:65840 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-02-11 10:55:51,222 INFO    MainThread:65840 [wandb_run.py:_redirect():2395] Redirects installed.
2025-02-11 10:55:51,224 INFO    MainThread:65840 [wandb_init.py:init():911] run started, returning control to user process
2025-02-11 10:55:52,736 WARNING MsgRouterThr:65840 [router.py:message_loop():75] message_loop has been closed
